,question,a,b,c,d,e,correct
956,"
У словах Лесі Українки «Я на гору круту крем'яную / Буду камінь важкий підіймать...» переосмислено образ
",Ікара,Енея,Прометея,Сізіфа,Геракла,d
957,"
Образ «тихих озер загірної комуни» служить композиційним обрамленням твору
",«Три зозулі з поклоном»,«Момент»,«Подвійне коло»,«Шаланда в морі»,«Я (Романтика)»,e
958,"
У рядках Кохана спить, кохана спить, Піди збуди. Цілуй їй очі. Кохана спить... провідним художнім засобом є
",оксиморон,тавтологія,антитеза,метафора,гіпербола,b
959,"
Справжнє прізвище автора твору «Contra spem spero!»
",Тобілевич,Кандиба,Косач,Фітільов,Лозов'ягін,c
960,"
«Змичка міста й села - це міцна запорука майбутніх міст-садів», - так закінчує вступний твір до інституту
",Григорій Многогрішний,Степан Радченко,Мокій Мазайло,Іван Половець,Василь Кравчина,b
961,"
Зіставлення української й російської мов є важливим сюжетним компонентом твору
",«Маруся Чурай»,«Місто»,«Мина Мазайло»,«Подвійне коло»,«Момент»,c
962,"
«Пісня для неї такий же священний олтар, як і любов. Це великі стихії однієї великої душі, які зливаються в ціле, що його несила розділити», - сказано про головну героїню твору
",«Момент»,«За мить щастя»,«Шаланда в морі»,«Я (Романтика)»,«Маруся Чурай»,e
963,"
Метафоричний образ сонця, яке «їхало на велосипеді, / Обминаючи хмари на небі», створив
",Максим Рильський,Василь Симоненко,Богдан-Ігор Антонич,Іван Драч,Василь Стус,d
964,"
Правнук гетьмана Запорозької Січі Дем'яна Многогрішного є головним героєм твору
",Івана Багряного,Олександра Довженка,Валер'яна Підмогильного,Ліни Костенко,Григора Тютюнника,a
965,"
Ю. Андрухович, В. Неборак і О. Ірванець заснували поетичне угруповання
",«Пропала грамота»,«Бу-Ба-Бу»,«Нова дегенерація»,«ЛуГоСад»,«Західний вітер»,b
966,"
Апостроф треба писати на місці обох пропусків у рядку
","велике сузір..я, роз..ятрена рана","очікувана прем..єра, духм..яна страва","гарне ім..я, швидкий пор..ятунок","досвідчений різьб..яр, високий бур..ян",,a
967,"
Немає лексичної помилки в рядку
",багаточисельні дзвінки,рішити завдання,наступного разу,погляди співпадають,,c
968,"
Спільнокореневим до слова радити є
",радіо,порада,радист,радість,,b
969,"
Перший склад наголошений у слові
",дрова,жалюзі,жаркий,дочка,,a
970,"
Неправильно вжито прийменник у словосполученні
",вишивати по шовку,зустрітися по обіді,зайти по неуважності,відповідати по черзі,,c
971,"
Відокремленим означенням можна замінити підрядну частину в реченні
","Краплі дощу, який щойно випав, мерехтіли на пелюстках.","Серед квітів, що стояли у вазі на вікні, були й волошки.","Вона дивилася на білу орхідею, яку подарували друзі.","Я милуюся барвистими квітами, що ростуть біля будинку.",,c
972,"
Прочитайте текст і виконайте завдання
(1) Холодні осінні тумани клубочаться в/горі і спускають на землю мокрі коси. (2) Пливе в сірі без/вісті нудьга, пливе […] , і стиха хлипає сум. (3) Плачуть голі дерева, плачуть солом’яні стріхи, умивається сльозами вбога земля і не/знає, коли усміхнеться. (4) Міріади дрібних крапель спадають до/долу, і пливуть, змішані з землею, брудними потоками. (5) Недобрі думи крутяться тут, над головою, висять хмарами, котяться туманом.
На місці пропуску в тексті можуть бути всі слова, ОКРІМ
",злість,розпач,безнадія,відчай,,a
973,"
Прочитайте текст і виконайте завдання
(1) Холодні осінні тумани клубочаться в/горі і спускають на землю мокрі коси. (2) Пливе в сірі без/вісті нудьга, пливе […] , і стиха хлипає сум. (3) Плачуть голі дерева, плачуть солом’яні стріхи, умивається сльозами вбога земля і не/знає, коли усміхнеться. (4) Міріади дрібних крапель спадають до/долу, і пливуть, змішані з землею, брудними потоками. (5) Недобрі думи крутяться тут, над головою, висять хмарами, котяться туманом.
У тексті окремо треба писати
",в/горі,до/долу,без/вісті ,не/знає,,d
974,"
Прочитайте текст і виконайте завдання
(1) Холодні осінні тумани клубочаться в/горі і спускають на землю мокрі коси. (2) Пливе в сірі без/вісті нудьга, пливе […] , і стиха хлипає сум. (3) Плачуть голі дерева, плачуть солом’яні стріхи, умивається сльозами вбога земля і не/знає, коли усміхнеться. (4) Міріади дрібних крапель спадають до/долу, і пливуть, змішані з землею, брудними потоками. (5) Недобрі думи крутяться тут, над головою, висять хмарами, котяться туманом.
Уточнювальною обставиною ускладнено речення
",друге,третє,четверте,п’яте,,d
975,"
Прочитайте текст і виконайте завдання
(1) Холодні осінні тумани клубочаться в/горі і спускають на землю мокрі коси. (2) Пливе в сірі без/вісті нудьга, пливе […] , і стиха хлипає сум. (3) Плачуть голі дерева, плачуть солом’яні стріхи, умивається сльозами вбога земля і не/знає, коли усміхнеться. (4) Міріади дрібних крапель спадають до/долу, і пливуть, змішані з землею, брудними потоками. (5) Недобрі думи крутяться тут, над головою, висять хмарами, котяться туманом.
Пунктуаційну помилку допущено в реченні
",першому,другому,третьому,четвертому,,d
976,"
Звук [д] є в кожному слові рядка
","кладка, футболіст, город","ведмідь, десять, джерело","баскетбол, душа, дзвінок","податок, дятел, звідти","дитина, боротьба, день",a
977,"
Фразеологізм через пень колоду має антонім
",далеко куцому до зайця,і кіт не валявся ,як курка лапою,мухи не зобидить,комар носа не підточить,e
978,"
Літеру о на місці пропуску треба писати в усіх словах рядка
","ч..рнетка, щ..тина, ч..тири","ч..рнило, веч..рові, пш..но","щ..ка, менш..сті, пш..ниця","пекуч..сті, увеч..рі, ч..рний","свіж..сті, ш..сти, ж..натий",b
979,"
Потрібно поставити у на місці всіх пропусків у рядку
","було .. Києві, лежала .. шухляді, плавала .. воді","знімки .. фотографа, ліси .. хвої, читати ..голос","перерва .. навчанні, їхати .. вагоні, десь .. річці","бути .. формі, осінь .. Каневі, допоможе ..війти","гуляв .. лісі, улюблений ..читель, блиск .. очах",d
980,"
Подовження приголосних відбувається у формі Ор. в. однини всіх іменників рядка
","міць, стать, продаж","сталь, дріб, суміш","поміч, сіль, доповідь","вісь, мить, ступінь","путь, річ, шампунь",c
981,"
Правильно написано всі слова в рядку
","рідкісний, ненависний, захистний","форпостний, пісний, кількісний","шістсот, кістлявий, студенський","улесливий, цілістний, шелеснути","тріснути, тиждневик, контрастний",b
982,"
Закінчення -і має іменник у рядку
",обидві дівчин..,півтора тижн..,три лікар..,два муляр..,чотири секунд..,c
983,"
Помилку у творенні ступенів порівняння прикметників допущено в рядку
","ближчий, більш гарячіший","добріший, найменш удалий","цікавіший, якнайдорожчий","вужчий, найменш потрібний","коротший, щонайкращий",a
984,"
НЕПРАВИЛЬНО оформлено пряму мову в рядку
","Український письменник В. Винниченко якось сказав: “Як нудно сіро проходить життя людей неталановитих, так нудно й нецікаво живуть без любові навіть талановиті”.","“Суспільність, – говорив М. Грушевський, – що має віру в себе, мусить мати й відвагу глянути на правду свого минулого, щоб зачерпнути в ній не зневіру, а силу”.","Мати Тереза знала силу посмішки, тож усім, хто зневірився, радила: “Отримавши від життя чергового удару, скажіть собі: “Усе могло бути набагато гірше” і посміхніться”.","“Слово – найтонше доторкання до серця, – був переконаний В. Сухомлинський, – воно може стати і запашною квіткою, і живою водою і розжареним залізом”.","“Митець не може відвернутися від своєї сучасності, – говорив Альбер Камю і далі пояснював: “Якби він відвернувся від неї, то промовляв би в порожнечу”.",e
985,"
Правильно утворено форму третьої особи множини від дієслова
",мріяти – мріять,молоти – мелють,солити – солють,бігти – біжуть,ловити – лювлють,b
986,"
Синонімічним до простого речення “У сучасному світі вивчення мов міжнародного спілкування вкрай потрібне для досягнення особистістю успіху” є складнопідрядне речення.
","У сучасному світі вивчення мов міжнародного спілкування вкрай потрібне, щоб особистість могла досягти успіху.","У сучасному світі вивчати мови міжнародного спілкування вкрай потрібно, адже це свідчить про досягнення особистісю успіху.","У сучасному світі вивчення мов міжнародного спілкування вкрай потрібне, оскільки так особистіть досягне успіху.","У сучасному світі вивчення мов міжнародного спілкування вкрай потрібне через те, що так особистість може досягти успіху.","У сучасному світі вивчати мови міжнародного спілкування вкрай потрібно, тому що так особистість може досягти успіху.",a
987,"
Кому (коми) треба ставити в реченні (розділові знаки пропущено)
",А тим часом місяць пливе оглядать небо й зорі та землю й море.,У моїй душі бриніли людські голоси і ні вдень ні вночі не давали спокою.,Підемо до лісу або в гай погуляти чи на річку порибалити.,Жовтороте ластів’ятко силилося вилетіти з гнізда та ще не змогло.,Пізньої осені на зритій землі поплуталась гарбузова огудина.,d
988,"
Двокрапку треба поставити, якщо до частини «Люблю теплу весняну пору…» додати фрагмент рядка
",… кидаю всі невідкладні справи та йду в поля далекі.,… у цей час народжуються нові потаємні мрії та сподівання.,… час пробудження природи від тривалого зимового сну.,"… ласкаву, сонячну, повну радісних пташиних переливів.",… коли з-під снігу виглядають перші блакитні проліски.,b
989,"
Прочитайте текст (цифри в дужках позначають номери рядків)
і виконайте завдання
Маленький шлях — не для людей…
(1-5) Є такі тихі затінені місцинки поміж густою травою, торішнім листям чи
просто на землі - місцинки, помережані стежками. Треба низько-низько нахилитись
або лягти на живіт, щоб побачити шляхи маленьких істот. Кожна така стежечка
веде до крихітної нірки, скрученого з листочка будиночка, під камінчик чи суху
гілку. Інколи ці шляхи позначені сріблистим слизом, помережані павутинням.
(6-11) Маленький народ має свої звичаї й подорожує не дуже далеко. Його шляхи
ведуть по стовбуру дерева в пошуках солодкого соку чи просто щоб відпочити на
зігрітому сонцем листку, погойдатися. Як же добре, напевно, колисатися на м’якому
пахучому листі! Навіть упасти не боляче, коли ти можеш на льоту прикріпитися
міцною надійною павутинкою. Комахи тонше відчувають тяжіння землі, сонце,
вологість.
(12-16) Ясного дня маленькі істоти метушаться, латають свої хатки, чистять
нірки, пильнують, чи добре закутані дітки. Усі шість лапок прудко бігають. І, певно
ж, вони якось спілкуються між собою, як ото в селі сусіди перегукуються через
пліт. І не чинять одне одному кривди. А похмурого чи дощового дня сплять у своїх
домівках.
(17-20) Очима, утомленими від телевізора, книг чи облич інших людей, не
побачиш, як самовіддано бореться кожна істота за життя, захищає своє потомство.
Комахи не хочуть нищення й хаосу на власній землі від більших, сильніших істот,
а ті просто не відають, що роблять.
(21-23) Треба мати дуже добрий зір. Мало хто з людей здатний бачити. Коли
зранку протираєш очі, несвідомо хочеш побачити все краще. Але для цього треба
любити.
(24-26) Кожна наша, навіть ненавмисна, поява загрозлива й небезпечна для
маленького, хоча й незліченного народу. Ми ніколи не пройдемо їхніми шляхами.
Ми надто грубі й великі для цього і не повинні втручатися.
(27-29) Уявімо на мить, що існують інші істоти, які дивляться на нас, як на
комах. Наша метушня видається їм позбавленою сенсу. Вони не зможуть пройти
нашими шляхами й оцінити духовну велич, якщо вона в нас є.
(30-34) Ми будуємо житла, добуваємо харч, залатуємо діри власного існування,
боронимося самі й оберігаємо дітей. І попри все маємо час, щоб відчути себе
беззахисними. І тому, щоб захиститися, шукаємо Бога. А що, коли він ставиться
до нас, як ми до комах? Але, перемігши страх, ми уявляємо його подібним до нас,
тільки в стократ кращим і досконалішим.
(35-37) Дивно бути людиною – такою чужою для всіх істотою. Хіба це щастя -
бути людиною? Щастя – просто бути в злагоді, хай ти дерево, травинка, жабка
чи цвіркун. Ми нікуди не йдемо, ми просто тікаємо.
(38, 39) Щойно почнеш замислюватися над цим, тебе охоплять якісь людські
проблеми.
(40-44) Дуже важко жити серед людей. Вони постійно нагадують про існування
часу, хоча це фікція нашого штучного світу. Він примушує нас вірити, що
обов’язково треба розбиватися до крові, щоб подолати стіну й потрапити в сад. Але
знайти в собі злагоду краще, ніж страждати; підкоритися законам космосу легше,
ніж суспільним.
(45-49) Дитинство, розквіт, старість – це не дія часу, а стан душі, її різні
обличчя. Ніби гра. Дитина бавиться в дорослу або немовля, приміряючи, що краще
до лиця: інфантильність чи відповідальність. Згодом дорослі навчають її того, що
вміють самі, – автоматизму. Якби не це, ми б не шукали крихітку знання, не сиділи
б розгублено над цією мізерією.
(50, 51) Як усе-таки добре не бути людиною. Важко знайти більш неприродну
істоту.
За Г. Пагутяк
У тексті НЕМАЄ відповіді на запитання
","Чи є істоти, які дивляться на нас, як ми на комах?",Чи є людина гармонійною часточкою всесвіту?,"Чи відлік часу є фікцією, придуманою людиною?",Чи може людина зрозуміти життя комах?,,a
990,"
Прочитайте текст (цифри в дужках позначають номери рядків)
і виконайте завдання
Маленький шлях — не для людей…
(1-5) Є такі тихі затінені місцинки поміж густою травою, торішнім листям чи
просто на землі - місцинки, помережані стежками. Треба низько-низько нахилитись
або лягти на живіт, щоб побачити шляхи маленьких істот. Кожна така стежечка
веде до крихітної нірки, скрученого з листочка будиночка, під камінчик чи суху
гілку. Інколи ці шляхи позначені сріблистим слизом, помережані павутинням.
(6-11) Маленький народ має свої звичаї й подорожує не дуже далеко. Його шляхи
ведуть по стовбуру дерева в пошуках солодкого соку чи просто щоб відпочити на
зігрітому сонцем листку, погойдатися. Як же добре, напевно, колисатися на м’якому
пахучому листі! Навіть упасти не боляче, коли ти можеш на льоту прикріпитися
міцною надійною павутинкою. Комахи тонше відчувають тяжіння землі, сонце,
вологість.
(12-16) Ясного дня маленькі істоти метушаться, латають свої хатки, чистять
нірки, пильнують, чи добре закутані дітки. Усі шість лапок прудко бігають. І, певно
ж, вони якось спілкуються між собою, як ото в селі сусіди перегукуються через
пліт. І не чинять одне одному кривди. А похмурого чи дощового дня сплять у своїх
домівках.
(17-20) Очима, утомленими від телевізора, книг чи облич інших людей, не
побачиш, як самовіддано бореться кожна істота за життя, захищає своє потомство.
Комахи не хочуть нищення й хаосу на власній землі від більших, сильніших істот,
а ті просто не відають, що роблять.
(21-23) Треба мати дуже добрий зір. Мало хто з людей здатний бачити. Коли
зранку протираєш очі, несвідомо хочеш побачити все краще. Але для цього треба
любити.
(24-26) Кожна наша, навіть ненавмисна, поява загрозлива й небезпечна для
маленького, хоча й незліченного народу. Ми ніколи не пройдемо їхніми шляхами.
Ми надто грубі й великі для цього і не повинні втручатися.
(27-29) Уявімо на мить, що існують інші істоти, які дивляться на нас, як на
комах. Наша метушня видається їм позбавленою сенсу. Вони не зможуть пройти
нашими шляхами й оцінити духовну велич, якщо вона в нас є.
(30-34) Ми будуємо житла, добуваємо харч, залатуємо діри власного існування,
боронимося самі й оберігаємо дітей. І попри все маємо час, щоб відчути себе
беззахисними. І тому, щоб захиститися, шукаємо Бога. А що, коли він ставиться
до нас, як ми до комах? Але, перемігши страх, ми уявляємо його подібним до нас,
тільки в стократ кращим і досконалішим.
(35-37) Дивно бути людиною – такою чужою для всіх істотою. Хіба це щастя -
бути людиною? Щастя – просто бути в злагоді, хай ти дерево, травинка, жабка
чи цвіркун. Ми нікуди не йдемо, ми просто тікаємо.
(38, 39) Щойно почнеш замислюватися над цим, тебе охоплять якісь людські
проблеми.
(40-44) Дуже важко жити серед людей. Вони постійно нагадують про існування
часу, хоча це фікція нашого штучного світу. Він примушує нас вірити, що
обов’язково треба розбиватися до крові, щоб подолати стіну й потрапити в сад. Але
знайти в собі злагоду краще, ніж страждати; підкоритися законам космосу легше,
ніж суспільним.
(45-49) Дитинство, розквіт, старість – це не дія часу, а стан душі, її різні
обличчя. Ніби гра. Дитина бавиться в дорослу або немовля, приміряючи, що краще
до лиця: інфантильність чи відповідальність. Згодом дорослі навчають її того, що
вміють самі, – автоматизму. Якби не це, ми б не шукали крихітку знання, не сиділи
б розгублено над цією мізерією.
(50, 51) Як усе-таки добре не бути людиною. Важко знайти більш неприродну
істоту.
За Г. Пагутяк
Метафоричний зміст речення «Він примушує нас вірити, що обов’язково треба розбиватися до крові, щоб подолати стіну й потрапити в сад» (рядки 41, 42) розкрито в рядку
","Тільки докладаючи зусиль, можна досягти задуманого, здійснити свою мрію.",Людське життя сповнене перешкод і труднощів.,Підкорена суспільним законом людина досягає своєї мети в боротьбі.,Кожен повинен досягати своєї мети за будь-яку ціну.,,c
991,"
Прочитайте текст (цифри в дужках позначають номери рядків)
і виконайте завдання
Маленький шлях — не для людей…
(1-5) Є такі тихі затінені місцинки поміж густою травою, торішнім листям чи
просто на землі - місцинки, помережані стежками. Треба низько-низько нахилитись
або лягти на живіт, щоб побачити шляхи маленьких істот. Кожна така стежечка
веде до крихітної нірки, скрученого з листочка будиночка, під камінчик чи суху
гілку. Інколи ці шляхи позначені сріблистим слизом, помережані павутинням.
(6-11) Маленький народ має свої звичаї й подорожує не дуже далеко. Його шляхи
ведуть по стовбуру дерева в пошуках солодкого соку чи просто щоб відпочити на
зігрітому сонцем листку, погойдатися. Як же добре, напевно, колисатися на м’якому
пахучому листі! Навіть упасти не боляче, коли ти можеш на льоту прикріпитися
міцною надійною павутинкою. Комахи тонше відчувають тяжіння землі, сонце,
вологість.
(12-16) Ясного дня маленькі істоти метушаться, латають свої хатки, чистять
нірки, пильнують, чи добре закутані дітки. Усі шість лапок прудко бігають. І, певно
ж, вони якось спілкуються між собою, як ото в селі сусіди перегукуються через
пліт. І не чинять одне одному кривди. А похмурого чи дощового дня сплять у своїх
домівках.
(17-20) Очима, утомленими від телевізора, книг чи облич інших людей, не
побачиш, як самовіддано бореться кожна істота за життя, захищає своє потомство.
Комахи не хочуть нищення й хаосу на власній землі від більших, сильніших істот,
а ті просто не відають, що роблять.
(21-23) Треба мати дуже добрий зір. Мало хто з людей здатний бачити. Коли
зранку протираєш очі, несвідомо хочеш побачити все краще. Але для цього треба
любити.
(24-26) Кожна наша, навіть ненавмисна, поява загрозлива й небезпечна для
маленького, хоча й незліченного народу. Ми ніколи не пройдемо їхніми шляхами.
Ми надто грубі й великі для цього і не повинні втручатися.
(27-29) Уявімо на мить, що існують інші істоти, які дивляться на нас, як на
комах. Наша метушня видається їм позбавленою сенсу. Вони не зможуть пройти
нашими шляхами й оцінити духовну велич, якщо вона в нас є.
(30-34) Ми будуємо житла, добуваємо харч, залатуємо діри власного існування,
боронимося самі й оберігаємо дітей. І попри все маємо час, щоб відчути себе
беззахисними. І тому, щоб захиститися, шукаємо Бога. А що, коли він ставиться
до нас, як ми до комах? Але, перемігши страх, ми уявляємо його подібним до нас,
тільки в стократ кращим і досконалішим.
(35-37) Дивно бути людиною – такою чужою для всіх істотою. Хіба це щастя -
бути людиною? Щастя – просто бути в злагоді, хай ти дерево, травинка, жабка
чи цвіркун. Ми нікуди не йдемо, ми просто тікаємо.
(38, 39) Щойно почнеш замислюватися над цим, тебе охоплять якісь людські
проблеми.
(40-44) Дуже важко жити серед людей. Вони постійно нагадують про існування
часу, хоча це фікція нашого штучного світу. Він примушує нас вірити, що
обов’язково треба розбиватися до крові, щоб подолати стіну й потрапити в сад. Але
знайти в собі злагоду краще, ніж страждати; підкоритися законам космосу легше,
ніж суспільним.
(45-49) Дитинство, розквіт, старість – це не дія часу, а стан душі, її різні
обличчя. Ніби гра. Дитина бавиться в дорослу або немовля, приміряючи, що краще
до лиця: інфантильність чи відповідальність. Згодом дорослі навчають її того, що
вміють самі, – автоматизму. Якби не це, ми б не шукали крихітку знання, не сиділи
б розгублено над цією мізерією.
(50, 51) Як усе-таки добре не бути людиною. Важко знайти більш неприродну
істоту.
За Г. Пагутяк
Рядки 45-49
","ілюструють аргумент, наведений у рядках 40-44",обгрунтовують висловлене в рядках 40-44,розширюють міркування з попереднього абзацу,підсумовують сказане в попередніх абзацах,,b
992,"
Прочитайте текст (цифри в дужках позначають номери рядків)
і виконайте завдання
Маленький шлях — не для людей…
(1-5) Є такі тихі затінені місцинки поміж густою травою, торішнім листям чи
просто на землі - місцинки, помережані стежками. Треба низько-низько нахилитись
або лягти на живіт, щоб побачити шляхи маленьких істот. Кожна така стежечка
веде до крихітної нірки, скрученого з листочка будиночка, під камінчик чи суху
гілку. Інколи ці шляхи позначені сріблистим слизом, помережані павутинням.
(6-11) Маленький народ має свої звичаї й подорожує не дуже далеко. Його шляхи
ведуть по стовбуру дерева в пошуках солодкого соку чи просто щоб відпочити на
зігрітому сонцем листку, погойдатися. Як же добре, напевно, колисатися на м’якому
пахучому листі! Навіть упасти не боляче, коли ти можеш на льоту прикріпитися
міцною надійною павутинкою. Комахи тонше відчувають тяжіння землі, сонце,
вологість.
(12-16) Ясного дня маленькі істоти метушаться, латають свої хатки, чистять
нірки, пильнують, чи добре закутані дітки. Усі шість лапок прудко бігають. І, певно
ж, вони якось спілкуються між собою, як ото в селі сусіди перегукуються через
пліт. І не чинять одне одному кривди. А похмурого чи дощового дня сплять у своїх
домівках.
(17-20) Очима, утомленими від телевізора, книг чи облич інших людей, не
побачиш, як самовіддано бореться кожна істота за життя, захищає своє потомство.
Комахи не хочуть нищення й хаосу на власній землі від більших, сильніших істот,
а ті просто не відають, що роблять.
(21-23) Треба мати дуже добрий зір. Мало хто з людей здатний бачити. Коли
зранку протираєш очі, несвідомо хочеш побачити все краще. Але для цього треба
любити.
(24-26) Кожна наша, навіть ненавмисна, поява загрозлива й небезпечна для
маленького, хоча й незліченного народу. Ми ніколи не пройдемо їхніми шляхами.
Ми надто грубі й великі для цього і не повинні втручатися.
(27-29) Уявімо на мить, що існують інші істоти, які дивляться на нас, як на
комах. Наша метушня видається їм позбавленою сенсу. Вони не зможуть пройти
нашими шляхами й оцінити духовну велич, якщо вона в нас є.
(30-34) Ми будуємо житла, добуваємо харч, залатуємо діри власного існування,
боронимося самі й оберігаємо дітей. І попри все маємо час, щоб відчути себе
беззахисними. І тому, щоб захиститися, шукаємо Бога. А що, коли він ставиться
до нас, як ми до комах? Але, перемігши страх, ми уявляємо його подібним до нас,
тільки в стократ кращим і досконалішим.
(35-37) Дивно бути людиною – такою чужою для всіх істотою. Хіба це щастя -
бути людиною? Щастя – просто бути в злагоді, хай ти дерево, травинка, жабка
чи цвіркун. Ми нікуди не йдемо, ми просто тікаємо.
(38, 39) Щойно почнеш замислюватися над цим, тебе охоплять якісь людські
проблеми.
(40-44) Дуже важко жити серед людей. Вони постійно нагадують про існування
часу, хоча це фікція нашого штучного світу. Він примушує нас вірити, що
обов’язково треба розбиватися до крові, щоб подолати стіну й потрапити в сад. Але
знайти в собі злагоду краще, ніж страждати; підкоритися законам космосу легше,
ніж суспільним.
(45-49) Дитинство, розквіт, старість – це не дія часу, а стан душі, її різні
обличчя. Ніби гра. Дитина бавиться в дорослу або немовля, приміряючи, що краще
до лиця: інфантильність чи відповідальність. Згодом дорослі навчають її того, що
вміють самі, – автоматизму. Якби не це, ми б не шукали крихітку знання, не сиділи
б розгублено над цією мізерією.
(50, 51) Як усе-таки добре не бути людиною. Важко знайти більш неприродну
істоту.
За Г. Пагутяк
Текст НЕ суперечить твердженню
",Людина – володар планети.,Люди розумніші за комах.,Людське життя підвладне часові.,Комахи – гидкі створіння.,,b
993,"
Прочитайте текст (цифри в дужках позначають номери рядків)
і виконайте завдання
Маленький шлях — не для людей…
(1-5) Є такі тихі затінені місцинки поміж густою травою, торішнім листям чи
просто на землі - місцинки, помережані стежками. Треба низько-низько нахилитись
або лягти на живіт, щоб побачити шляхи маленьких істот. Кожна така стежечка
веде до крихітної нірки, скрученого з листочка будиночка, під камінчик чи суху
гілку. Інколи ці шляхи позначені сріблистим слизом, помережані павутинням.
(6-11) Маленький народ має свої звичаї й подорожує не дуже далеко. Його шляхи
ведуть по стовбуру дерева в пошуках солодкого соку чи просто щоб відпочити на
зігрітому сонцем листку, погойдатися. Як же добре, напевно, колисатися на м’якому
пахучому листі! Навіть упасти не боляче, коли ти можеш на льоту прикріпитися
міцною надійною павутинкою. Комахи тонше відчувають тяжіння землі, сонце,
вологість.
(12-16) Ясного дня маленькі істоти метушаться, латають свої хатки, чистять
нірки, пильнують, чи добре закутані дітки. Усі шість лапок прудко бігають. І, певно
ж, вони якось спілкуються між собою, як ото в селі сусіди перегукуються через
пліт. І не чинять одне одному кривди. А похмурого чи дощового дня сплять у своїх
домівках.
(17-20) Очима, утомленими від телевізора, книг чи облич інших людей, не
побачиш, як самовіддано бореться кожна істота за життя, захищає своє потомство.
Комахи не хочуть нищення й хаосу на власній землі від більших, сильніших істот,
а ті просто не відають, що роблять.
(21-23) Треба мати дуже добрий зір. Мало хто з людей здатний бачити. Коли
зранку протираєш очі, несвідомо хочеш побачити все краще. Але для цього треба
любити.
(24-26) Кожна наша, навіть ненавмисна, поява загрозлива й небезпечна для
маленького, хоча й незліченного народу. Ми ніколи не пройдемо їхніми шляхами.
Ми надто грубі й великі для цього і не повинні втручатися.
(27-29) Уявімо на мить, що існують інші істоти, які дивляться на нас, як на
комах. Наша метушня видається їм позбавленою сенсу. Вони не зможуть пройти
нашими шляхами й оцінити духовну велич, якщо вона в нас є.
(30-34) Ми будуємо житла, добуваємо харч, залатуємо діри власного існування,
боронимося самі й оберігаємо дітей. І попри все маємо час, щоб відчути себе
беззахисними. І тому, щоб захиститися, шукаємо Бога. А що, коли він ставиться
до нас, як ми до комах? Але, перемігши страх, ми уявляємо його подібним до нас,
тільки в стократ кращим і досконалішим.
(35-37) Дивно бути людиною – такою чужою для всіх істотою. Хіба це щастя -
бути людиною? Щастя – просто бути в злагоді, хай ти дерево, травинка, жабка
чи цвіркун. Ми нікуди не йдемо, ми просто тікаємо.
(38, 39) Щойно почнеш замислюватися над цим, тебе охоплять якісь людські
проблеми.
(40-44) Дуже важко жити серед людей. Вони постійно нагадують про існування
часу, хоча це фікція нашого штучного світу. Він примушує нас вірити, що
обов’язково треба розбиватися до крові, щоб подолати стіну й потрапити в сад. Але
знайти в собі злагоду краще, ніж страждати; підкоритися законам космосу легше,
ніж суспільним.
(45-49) Дитинство, розквіт, старість – це не дія часу, а стан душі, її різні
обличчя. Ніби гра. Дитина бавиться в дорослу або немовля, приміряючи, що краще
до лиця: інфантильність чи відповідальність. Згодом дорослі навчають її того, що
вміють самі, – автоматизму. Якби не це, ми б не шукали крихітку знання, не сиділи
б розгублено над цією мізерією.
(50, 51) Як усе-таки добре не бути людиною. Важко знайти більш неприродну
істоту.
За Г. Пагутяк
Головну ідею тексту найповніше розкрито в реченні
","Уявімо на мить, що існують інші істоти, які дивляться на нас, як на комах (рядки 27, 28).","А що, коли він ставиться до нас, як ми до комах (рядки 32, 33)?","Щастя - просто бути в злагоді, хай ти дерево, травинка, жабка чи цвіркун (рядки 36, 37).","Комахи не хочуть нищення й хаосу на власній землі від більших, сильніших істот, а ті просто не відають, що роблять (рядки 19, 20).",,c
